PodcastID,UserID,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
443,443,Never,None,None,None,None,Ok
444,444,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok
445,445,Once a week,Lifestyle and Health,Conversational,Well known individuals,Both,Satisfied
446,446,Never,None,None,None,None,Ok
447,447,Rarely,Food and cooking,Conversational,Both,Shorter,Ok
448,448,Rarely,Lifestyle and Health,Interview,Well known individuals,Shorter,Satisfied
449,449,Never,None,None,None,None,Ok
450,450,Never,None,None,Well known individuals,Shorter,Dissatisfied
451,451,Once a week,Comedy,Conversational,Well known individuals,Shorter,Satisfied
452,452,Never,None,None,None,None,Ok
453,453,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Satisfied
454,454,Rarely,Self help,Story telling,Both,Shorter,Satisfied
455,455,Never,None,Conversational,Well known individuals,None,Ok
456,456,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
457,457,Rarely,Lifestyle and Health,Educational,unknown Podcasters,Shorter,Satisfied
458,458,Rarely,Lifestyle and Health,Interview,Both,Shorter,Ok
459,459,Rarely,Lifestyle and Health,Educational,Both,Both,Ok
460,460,Rarely,Comedy,Conversational,None,Shorter,Ok
461,461,Never,None,None,None,None,Very Satisfied
462,462,Never,None,Conversational,None,Shorter,Ok
463,463,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied
464,464,Rarely,Health and Fitness,Educational,Both,Shorter,Satisfied
465,465,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied
466,466,Once a week,Health and Fitness,Interview,Well known individuals,Both,Ok
467,467,Several times a week,Comedy,Educational,Both,Longer,Satisfied
468,468,Several times a week,Sports,Conversational,unknown Podcasters,Longer,Satisfied
469,469,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied
470,470,Once a week,Health and Fitness,Interview,Both,Longer,Very Satisfied
471,471,Once a week,Health and Fitness,Interview,Both,Longer,Ok
472,472,Once a week,Sports,Interview,Well known individuals,Longer,Ok
473,473,Rarely,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
474,474,Once a week,Health and Fitness,Conversational,Both,Both,Dissatisfied
475,475,Once a week,Sports,Interview,Both,Longer,Satisfied
476,476,Rarely,Lifestyle and Health,Story telling,Both,Longer,Very Satisfied
477,477,Rarely,Sports,Conversational,Both,Both,Satisfied
478,478,Rarely,Sports,Story telling,unknown Podcasters,Both,Satisfied
479,479,Rarely,Lifestyle and Health,Interview,Well known individuals,Both,Ok
480,480,Once a week,Sports,None,unknown Podcasters,Both,Ok
481,481,Once a week,Lifestyle and Health,Interview,Both,Both,Ok
482,482,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
483,483,Rarely,Sports,Conversational,Both,Both,Ok
484,484,Rarely,Sports,Story telling,Well known individuals,Longer,Ok
485,485,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok
486,486,Rarely,Sports,Story telling,unknown Podcasters,Both,Satisfied
487,487,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok
488,488,Once a week,Comedy,Interview,unknown Podcasters,Both,Ok
489,489,Rarely,Sports,Story telling,unknown Podcasters,Longer,Very Satisfied
490,490,Several times a week,Comedy,Story telling,Both,Longer,Ok
491,491,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Both,Dissatisfied
492,492,Rarely,Sports,Story telling,Both,Both,Ok
493,493,Several times a week,Sports,Conversational,Well known individuals,Both,Satisfied
494,494,Rarely,Sports,Interview,Both,Both,Very Satisfied
495,495,Rarely,Sports,Story telling,unknown Podcasters,Both,Ok
496,496,Rarely,Comedy,Story telling,unknown Podcasters,Longer,Satisfied
497,497,Several times a week,Lifestyle and Health,Interview,Well known individuals,Longer,Ok
498,498,Rarely,Sports,Conversational,Both,Both,Satisfied
499,499,Several times a week,Health and Fitness,Story telling,Both,Shorter,Satisfied
500,500,Once a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
501,501,Several times a week,Sports,Story telling,Both,Longer,Satisfied
502,502,Once a week,Sports,Interview,Well known individuals,Both,Very Dissatisfied
503,503,Rarely,Health and Fitness,Interview,unknown Podcasters,Both,Ok
504,504,Rarely,Lifestyle and Health,Story telling,unknown Podcasters,Longer,Satisfied
505,505,Several times a week,Health and Fitness,Story telling,Well known individuals,Longer,Very Satisfied
506,506,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied
507,507,Rarely,Lifestyle and Health,Interview,unknown Podcasters,Both,Satisfied
508,508,Rarely,Health and Fitness,Conversational,unknown Podcasters,Both,Ok
509,509,Rarely,Sports,None,Well known individuals,Both,Ok
510,510,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Ok
511,511,Rarely,Comedy,Story telling,Both,Longer,Satisfied
512,512,Rarely,Educational ,Educational,Both,Shorter,Satisfied
513,513,Once a week,Stories ,Story telling,Both,Both,Satisfied
514,514,Never,None,None,None,None,Ok
515,515,Rarely,None,Conversational,Both,Shorter,Satisfied
516,516,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok
517,517,Rarely,Comedy,Story telling,Both,Shorter,Ok
518,518,Never,None,Story telling,Both,Shorter,Ok
519,519,Several times a week,Comedy,Conversational,Both,Longer,Satisfied
520,520,Never,None,None,None,None,Ok
